category,risk_index
Offenders asking children for information,To describe their physical appearance
Offenders asking children for information,Gender
Offenders asking children for information,Phone number
Offenders asking children for information,To send sexual photos 
Offenders asking children for information,Hobbies
Offenders asking children for information,About their school 
Offenders asking children for information,About the their families
Offenders asking children for information,Offenders requesting their ages
Offenders asking children for information,Offenders saying that their hobbies are similar to the children's
Offenders asking children for information,To send nonsexual photos
Offenders asking children for information,To switch on their webcams
Offenders asking children for information,About their pets
Offenders asking children for information,About their friends
Offenders asking children for information,About their boyfriends or girlfriends
Offenders providing information about themselves,Their physical appearance
Offenders providing information about themselves,Their address
Offenders providing information about themselves,Sending photos of themselves
Offenders providing information about themselves,Children's opinions on their appearances
Offenders providing information about themselves,Their occupations Their families
Offenders providing information about themselves,Their name
Offenders providing information about themselves,Their phone numbers
Offenders providing information about themselves,Their webcams
Offenders providing information about themselves,Their hobbies
Offenders providing information about themselves,Their friends
Offenders providing information about themselves,Their former partners
Offenders' grooming strategies applied to children,Offenders giving children compliments
Offenders' grooming strategies applied to children,Saying they wanted to date them
Offenders' grooming strategies applied to children,Giving affectionate names
Offenders' grooming strategies applied to children,Telling they loved or liked them
Offenders' grooming strategies applied to children,Saying they looked mature
Offenders' grooming strategies applied to children,Offering presents
Offenders' grooming strategies applied to children,Offering money
Offenders' grooming strategies applied to children,Talking about them consuming alcohol
Offenders' grooming strategies applied to children,Offenders saying to children that they want to be with them
Offenders' grooming strategies applied to children,Promising fun events
Offenders' grooming strategies applied to children,Offering webcams
Offenders' grooming strategies applied to children,Sympathizing with children
Offenders' grooming strategies applied to children,Calling them boyfriends or girlfriends
Offenders' grooming strategies applied to children,Offering to take photos of them
Offenders' conversations about sexual topics with children,Asking about sexual experiences
Offenders' conversations about sexual topics with children,Asking if they have been sexually touched
Offenders' conversations about sexual topics with children,Asking if they have had sex before
Offenders' conversations about sexual topics with children,Saying they want to see them naked
Offenders' conversations about sexual topics with children,Asking them if they masturbated themselves
Offenders' conversations about sexual topics with children,Asking if they've been kissed
Offenders' conversations about sexual topics with children,Talking about own sexual experiences
Offenders' conversations about sexual topics with children,Saying they want to kiss them 
Offenders' conversations about sexual topics with children,Offering to teach about sex
Offenders' conversations about sexual topics with children,Explaining to them how to masturbate
Offenders' conversations about sexual topics with children,Saying they want to sexually touch them
Offenders' conversations about sexual topics with children,Expressing desires to engage in vaginal sex with them
Offenders' conversations about sexual topics with children,Saying they want to engage in oral sex
Offenders' conversations about sexual topics with children,Saying they should not be scared
Offenders' conversations about sexual topics with children,Saying children can trust them
Offenders' conversations about sexual topics with children,Talking about their clothing for the offline meetings
Offenders' conversations about sexual topics with children,Saying they want to engage in sexual activities with them
Offenders' conversations about sexual topics with children,Expressing desires to engage in anal sex with them
Offenders' conversations about sexual topics with children,Saying they should not be shy
Offenders' conversations about sexual topics with children,Saying they will not be hurt
Offenders' conversations about sexual topics with children,Talking about their or the children's clothing
Offenders' conversations about sexual topics with children,Talking about the children's clothing for offline meetings
Offenders' conversations about sexual topics with children,Talking about meeting in offenders' houses
Offenders' conversations about sexual topics with children,Talking about meeting in public places
Offenders' conversations about sexual topics with children,Talking about meeting in houses
Offenders' strategies to conceal contact with children,Asking if they're undercover decoys
Offenders' strategies to conceal contact with children,Asking where their parents are during online contact
Offenders' strategies to conceal contact with children,Saying not to tell anyone about the contact
Offenders' strategies to conceal contact with children,Asking if anyone could observe their online conversations
Offenders' strategies to conceal contact with children,Asking if anyone could be interfere with offline meetings
Offenders' strategies to conceal contact with children,Saying that they could be in trouble